turn,prompt_tokens,cached_tokens,prompt_n,completion_tokens,prompt_tps,gen_tps,total_ms,finish_reason
1,431,0,431,67,70.34615695353808,8.125433048647706,14286,stop
2,531,427,104,82,51.96487174669923,8.47339364855334,11621,stop
3,654,527,127,66,51.12538238364245,8.355672974899816,10313,stop
4,755,650,105,60,47.81749564746938,8.494815211132874,9192,stop
5,861,751,110,69,23.031840262881236,8.402195295932115,12926,stop
6,964,857,107,75,35.550369557720174,8.917075416165334,11412,stop
7,1070,960,110,70,31.213917775162745,7.670575250900069,12659,stop
8,1169,1066,103,59,32.75665715451506,7.945806313025313,10506,stop
9,1260,1165,95,59,33.48872099876762,8.095504622114406,10061,stop
10,1355,1256,99,52,28.22380738021203,7.850651665661989,10088,stop
11,1447,1351,96,45,30.27835268099043,7.249864435773533,9337,stop
12,1531,1443,88,60,27.095339570803663,7.244734244729088,11505,stop
13,1635,1527,108,58,28.443283303002605,7.107535009597666,11934,stop
14,1731,1631,100,61,26.75936825413051,7.174911058008798,12261,stop
15,1846,1727,119,96,20.80257742186141,7.209922431859782,18998,length
