turn,prompt_tokens,cached_tokens,prompt_n,completion_tokens,prompt_tps,gen_tps,total_ms,finish_reason
1,355,0,355,18,80.67255917218591,9.598641284094938,6203,stop
2,401,356,45,18,58.94388280384261,8.818730984611314,2745,stop
3,455,418,37,27,44.419473497181166,9.13438364692375,3719,stop
4,521,458,63,35,53.97329093145907,9.391510240475144,4844,stop
5,595,533,62,28,71.35433989754898,9.13997258685259,3849,stop
6,657,622,35,24,42.82817702476326,9.242898138841994,3345,stop
7,713,663,50,29,55.25747219167712,9.19565597211877,3993,stop
8,771,718,53,30,38.82325967413367,9.200983426490648,4566,stop
9,833,800,33,28,38.16926333321767,9.37377294708297,3807,stop
10,894,860,34,37,39.14935363265701,9.24730293419491,4826,stop
11,969,911,58,22,56.96153426874648,9.125288913165054,3367,stop
12,1025,990,35,35,38.8146666208284,9.066006661381719,4726,stop
13,1097,1035,62,27,59.94154732336822,9.12501302946572,3936,stop
14,1164,1123,41,43,43.80613328603695,9.3060974880184,5518,stop
15,1260,1192,68,65,46.74095270434216,8.816434936776519,8764,stop
