0.00.118.807 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.119.856 W srv  llama_server: -----------------
0.00.119.875 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.119.877 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.119.878 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.119.879 W srv  llama_server: -----------------
0.00.121.606 I srv    load_model: loading model '/data/data/com.termux/files/home/rpgos-temp-gm/models/bielik45/Bielik-4.5B-v3.0-Instruct-Q4_K_M.gguf'
0.03.613.142 I cmn          init: llama threadpool init, n_threads = 10
0.04.554.181 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 2048, kv_unified = 'false'
0.04.569.493 I srv  llama_server: model loaded
0.04.569.507 I srv  llama_server: listening on http://127.0.0.1:8080
0.04.569.508 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.04.569.509 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.05.384.914 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.05.385.115 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.11.556.763 I slot print_timing: id  0 | task 0 | prompt eval time =    4400.51 ms /   355 tokens (   12.40 ms per token,    80.67 tokens per second)
0.11.556.799 I slot print_timing: id  0 | task 0 |        eval time =    1771.08 ms /    18 tokens (  104.18 ms per token,     9.60 tokens per second)
0.11.556.800 I slot print_timing: id  0 | task 0 |       total time =    6171.59 ms /   373 tokens
0.11.556.801 I slot print_timing: id  0 | task 0 |    graphs reused =         20
0.11.557.198 I slot      release: id  0 | task 0 | stop processing: n_tokens = 372, truncated = 0
0.13.618.218 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.13.618.509 I slot launch_slot_: id  0 | task 24 | processing task, is_child = 0
0.16.309.699 I slot print_timing: id  0 | task 24 | prompt eval time =     763.44 ms /    45 tokens (   16.97 ms per token,    58.94 tokens per second)
0.16.309.736 I slot print_timing: id  0 | task 24 |        eval time =    1927.71 ms /    18 tokens (  113.39 ms per token,     8.82 tokens per second)
0.16.309.737 I slot print_timing: id  0 | task 24 |       total time =    2691.15 ms /    63 tokens
0.16.309.739 I slot print_timing: id  0 | task 24 |    graphs reused =         36
0.16.309.810 I slot      release: id  0 | task 24 | stop processing: n_tokens = 418, truncated = 0
0.18.350.825 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.18.351.541 I slot launch_slot_: id  0 | task 43 | processing task, is_child = 0
0.22.031.020 I slot print_timing: id  0 | task 43 | prompt eval time =     832.97 ms /    37 tokens (   22.51 ms per token,    44.42 tokens per second)
0.22.031.058 I slot print_timing: id  0 | task 43 |        eval time =    2846.39 ms /    27 tokens (  109.48 ms per token,     9.13 tokens per second)
0.22.031.059 I slot print_timing: id  0 | task 43 |       total time =    3679.36 ms /    64 tokens
0.22.031.060 I slot print_timing: id  0 | task 43 |    graphs reused =         61
0.22.031.133 I slot      release: id  0 | task 43 | stop processing: n_tokens = 481, truncated = 0
0.24.089.291 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.24.090.067 I slot launch_slot_: id  0 | task 71 | processing task, is_child = 0
0.28.877.744 I slot print_timing: id  0 | task 71 | prompt eval time =    1167.24 ms /    63 tokens (   18.53 ms per token,    53.97 tokens per second)
0.28.877.786 I slot print_timing: id  0 | task 71 |        eval time =    3620.29 ms /    35 tokens (  106.48 ms per token,     9.39 tokens per second)
0.28.877.790 I slot print_timing: id  0 | task 71 |       total time =    4787.53 ms /    98 tokens
0.28.877.791 I slot print_timing: id  0 | task 71 |    graphs reused =         94
0.28.877.854 I slot      release: id  0 | task 71 | stop processing: n_tokens = 555, truncated = 0
0.30.904.150 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.30.904.453 I slot launch_slot_: id  0 | task 107 | processing task, is_child = 0
0.34.727.481 I slot print_timing: id  0 | task 107 | prompt eval time =     868.90 ms /    62 tokens (   14.01 ms per token,    71.35 tokens per second)
0.34.727.518 I slot print_timing: id  0 | task 107 |        eval time =    2954.06 ms /    28 tokens (  109.41 ms per token,     9.14 tokens per second)
0.34.727.520 I slot print_timing: id  0 | task 107 |       total time =    3822.96 ms /    90 tokens
0.34.727.521 I slot print_timing: id  0 | task 107 |    graphs reused =        120
0.34.727.600 I slot      release: id  0 | task 107 | stop processing: n_tokens = 622, truncated = 0
0.36.768.635 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.36.769.433 I slot launch_slot_: id  0 | task 136 | processing task, is_child = 0
0.40.075.181 I slot print_timing: id  0 | task 136 | prompt eval time =     817.22 ms /    35 tokens (   23.35 ms per token,    42.83 tokens per second)
0.40.075.214 I slot print_timing: id  0 | task 136 |        eval time =    2488.40 ms /    24 tokens (  108.19 ms per token,     9.24 tokens per second)
0.40.075.215 I slot print_timing: id  0 | task 136 |       total time =    3305.62 ms /    59 tokens
0.40.075.216 I slot print_timing: id  0 | task 136 |    graphs reused =        142
0.40.075.275 I slot      release: id  0 | task 136 | stop processing: n_tokens = 680, truncated = 0
0.42.119.760 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.42.120.680 I slot launch_slot_: id  0 | task 161 | processing task, is_child = 0
0.46.070.608 I slot print_timing: id  0 | task 161 | prompt eval time =     904.86 ms /    50 tokens (   18.10 ms per token,    55.26 tokens per second)
0.46.070.643 I slot print_timing: id  0 | task 161 |        eval time =    3044.92 ms /    29 tokens (  108.75 ms per token,     9.20 tokens per second)
0.46.070.645 I slot print_timing: id  0 | task 161 |       total time =    3949.77 ms /    79 tokens
0.46.070.646 I slot print_timing: id  0 | task 161 |    graphs reused =        169
0.46.070.712 I slot      release: id  0 | task 161 | stop processing: n_tokens = 741, truncated = 0
0.48.122.526 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.48.123.327 I slot launch_slot_: id  0 | task 191 | processing task, is_child = 0
