turn,prompt_tokens,cached_tokens,prompt_n,completion_tokens,prompt_tps,gen_tps,total_ms,finish_reason
1,355,0,355,18,74.3006892383091,8.340823720125131,6869,stop
2,401,356,45,18,58.50910986840651,8.296402143204686,2865,stop
3,455,418,37,27,48.95293638235154,9.182026254238298,3634,stop
4,521,458,63,35,51.96763488694565,9.03460706235234,5018,stop
5,595,533,62,28,72.58958667255189,8.782204261710989,3974,stop
6,657,622,35,24,45.02435817777418,8.762766016621823,3451,stop
7,713,663,50,29,58.32434166399347,8.648239944181789,4151,stop
8,771,718,53,30,38.312597543511906,8.418253676817436,4874,stop
9,833,800,33,28,39.78271404908464,8.323994530827296,4139,stop
10,894,860,34,37,39.906103286384976,8.160571022356338,5326,stop
11,969,911,58,22,59.19841266601072,8.098449378328318,3639,stop
12,1025,990,35,35,39.4826197507857,4.357076796169668,8778,stop
13,1097,1035,62,27,56.236949852967584,6.758639621017082,5122,stop
14,1164,1123,41,43,43.36664808599711,6.303007164718287,7658,stop
15,1260,1192,68,65,39.68728751980717,5.801437813844188,12847,stop
