0.00.121.724 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.122.761 W srv  llama_server: -----------------
0.00.122.787 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.122.789 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.122.790 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.122.791 W srv  llama_server: -----------------
0.00.124.221 I srv    load_model: loading model '/data/data/com.termux/files/home/rpgos-temp-gm/models/bielik45/Bielik-4.5B-v3.0-Instruct-Q4_K_M.gguf'
0.04.248.171 I cmn          init: llama threadpool init, n_threads = 10
0.05.453.543 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 3072, kv_unified = 'false'
0.05.472.638 I srv  llama_server: model loaded
0.05.472.665 I srv  llama_server: listening on http://127.0.0.1:8080
0.05.472.667 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.05.472.668 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.06.503.030 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.06.503.193 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.09.827.484 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    320, progress = 0.90, t =   3.32 s / 96.26 tokens per second
0.13.319.338 I slot print_timing: id  0 | task 0 | prompt eval time =    4777.88 ms /   355 tokens (   13.46 ms per token,    74.30 tokens per second)
0.13.319.381 I slot print_timing: id  0 | task 0 |        eval time =    2038.17 ms /    18 tokens (  119.89 ms per token,     8.34 tokens per second)
0.13.319.383 I slot print_timing: id  0 | task 0 |       total time =    6816.05 ms /   373 tokens
0.13.319.385 I slot print_timing: id  0 | task 0 |    graphs reused =         20
0.13.322.191 I slot      release: id  0 | task 0 | stop processing: n_tokens = 372, truncated = 0
0.15.376.263 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.15.376.848 I slot launch_slot_: id  0 | task 24 | processing task, is_child = 0
0.18.195.141 I slot print_timing: id  0 | task 24 | prompt eval time =     769.11 ms /    45 tokens (   17.09 ms per token,    58.51 tokens per second)
0.18.195.183 I slot print_timing: id  0 | task 24 |        eval time =    2049.08 ms /    18 tokens (  120.53 ms per token,     8.30 tokens per second)
0.18.195.185 I slot print_timing: id  0 | task 24 |       total time =    2818.19 ms /    63 tokens
0.18.195.187 I slot print_timing: id  0 | task 24 |    graphs reused =         36
0.18.195.344 I slot      release: id  0 | task 24 | stop processing: n_tokens = 418, truncated = 0
0.20.242.481 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.20.243.172 I slot launch_slot_: id  0 | task 43 | processing task, is_child = 0
0.23.830.749 I slot print_timing: id  0 | task 43 | prompt eval time =     755.83 ms /    37 tokens (   20.43 ms per token,    48.95 tokens per second)
0.23.830.793 I slot print_timing: id  0 | task 43 |        eval time =    2831.62 ms /    27 tokens (  108.91 ms per token,     9.18 tokens per second)
0.23.830.795 I slot print_timing: id  0 | task 43 |       total time =    3587.45 ms /    64 tokens
0.23.830.796 I slot print_timing: id  0 | task 43 |    graphs reused =         61
0.23.830.924 I slot      release: id  0 | task 43 | stop processing: n_tokens = 481, truncated = 0
0.25.875.664 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.25.876.465 I slot launch_slot_: id  0 | task 71 | processing task, is_child = 0
0.30.852.215 I slot print_timing: id  0 | task 71 | prompt eval time =    1212.29 ms /    63 tokens (   19.24 ms per token,    51.97 tokens per second)
0.30.852.297 I slot print_timing: id  0 | task 71 |        eval time =    3763.31 ms /    35 tokens (  110.69 ms per token,     9.03 tokens per second)
0.30.852.304 I slot print_timing: id  0 | task 71 |       total time =    4975.60 ms /    98 tokens
0.30.852.308 I slot print_timing: id  0 | task 71 |    graphs reused =         94
0.30.852.458 I slot      release: id  0 | task 71 | stop processing: n_tokens = 555, truncated = 0
0.32.900.462 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.32.901.443 I slot launch_slot_: id  0 | task 107 | processing task, is_child = 0
0.36.830.130 I slot print_timing: id  0 | task 107 | prompt eval time =     854.12 ms /    62 tokens (   13.78 ms per token,    72.59 tokens per second)
0.36.830.165 I slot print_timing: id  0 | task 107 |        eval time =    3074.40 ms /    28 tokens (  113.87 ms per token,     8.78 tokens per second)
0.36.830.167 I slot print_timing: id  0 | task 107 |       total time =    3928.52 ms /    90 tokens
0.36.830.168 I slot print_timing: id  0 | task 107 |    graphs reused =        120
0.36.830.235 I slot      release: id  0 | task 107 | stop processing: n_tokens = 622, truncated = 0
0.38.881.189 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.38.881.988 I slot launch_slot_: id  0 | task 136 | processing task, is_child = 0
0.42.284.221 I slot print_timing: id  0 | task 136 | prompt eval time =     777.36 ms /    35 tokens (   22.21 ms per token,    45.02 tokens per second)
0.42.284.286 I slot print_timing: id  0 | task 136 |        eval time =    2624.74 ms /    24 tokens (  114.12 ms per token,     8.76 tokens per second)
0.42.284.288 I slot print_timing: id  0 | task 136 |       total time =    3402.10 ms /    59 tokens
0.42.284.289 I slot print_timing: id  0 | task 136 |    graphs reused =        142
0.42.284.505 I slot      release: id  0 | task 136 | stop processing: n_tokens = 680, truncated = 0
0.44.334.797 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
