turn,prompt_tokens,cached_tokens,prompt_n,completion_tokens,prompt_tps,gen_tps,total_ms,finish_reason
1,355,0,355,18,65.9898279003877,7.645562515515994,7635,stop
2,401,356,45,18,41.2065648467711,8.587571763053742,3106,stop
3,455,418,37,27,40.64978126023111,9.158770456201879,3783,stop
4,521,458,63,35,51.71976425638882,8.788107106347729,5147,stop
5,595,533,62,28,68.6041815355165,9.246271355462286,3880,stop
6,657,622,35,24,42.774056434867944,9.084836972600527,3390,stop
7,713,663,50,29,58.817509266698586,8.757725956367132,4098,stop
8,771,718,53,30,39.95781058339158,8.89672073009558,4613,stop
9,833,800,33,28,39.45971282895051,8.871379778839788,3941,stop
10,894,860,34,37,39.73150848851993,8.820667018839965,4998,stop
11,969,911,58,22,57.13700271105226,8.882756496996148,3451,stop
12,1025,990,35,35,38.76376805976266,8.785289085105163,4822,stop
13,1097,1035,62,27,58.678003509323176,8.826341060681774,4063,stop
14,1164,1123,41,43,44.100864054246216,8.748346926945262,5781,stop
15,1260,1192,68,65,48.98701339866856,8.65470226201462,8837,stop
