0.00.122.207 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.122.784 W srv  llama_server: -----------------
0.00.122.810 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.122.811 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.122.813 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.122.814 W srv  llama_server: -----------------
0.00.124.876 I srv    load_model: loading model '/data/data/com.termux/files/home/rpgos-temp-gm/models/bielik45/Bielik-4.5B-v3.0-Instruct-Q4_K_M.gguf'
0.04.212.040 I cmn          init: llama threadpool init, n_threads = 10
0.05.172.350 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 3072, kv_unified = 'false'
0.05.186.654 I srv  llama_server: model loaded
0.05.186.668 I srv  llama_server: listening on http://127.0.0.1:8080
0.05.186.669 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.05.186.670 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.05.523.579 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.05.523.630 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.08.728.105 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    320, progress = 0.90, t =   3.20 s / 99.86 tokens per second
0.13.126.780 I slot print_timing: id  0 | task 0 | prompt eval time =    5379.62 ms /   355 tokens (   15.15 ms per token,    65.99 tokens per second)
0.13.126.819 I slot print_timing: id  0 | task 0 |        eval time =    2223.51 ms /    18 tokens (  130.79 ms per token,     7.65 tokens per second)
0.13.126.821 I slot print_timing: id  0 | task 0 |       total time =    7603.13 ms /   373 tokens
0.13.126.822 I slot print_timing: id  0 | task 0 |    graphs reused =         20
0.13.127.056 I slot      release: id  0 | task 0 | stop processing: n_tokens = 372, truncated = 0
0.15.168.462 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.15.168.785 I slot launch_slot_: id  0 | task 24 | processing task, is_child = 0
0.18.240.519 I slot print_timing: id  0 | task 24 | prompt eval time =    1092.06 ms /    45 tokens (   24.27 ms per token,    41.21 tokens per second)
