turn,prompt_tokens,cached_tokens,prompt_n,completion_tokens,prompt_tps,gen_tps,total_ms,finish_reason
1,355,0,355,18,70.24000316574661,9.195750481424584,6941,stop
2,401,356,45,18,43.75899490450816,9.615139886145432,2857,stop
3,455,418,37,27,39.840165562806945,9.166529756318383,3808,stop
4,521,458,63,35,50.47830194197239,8.98207468489429,5071,stop
5,595,533,62,28,69.56748101761517,9.18591683275031,3870,stop
6,657,622,35,24,42.774892848893415,9.139202370152796,3383,stop
7,713,663,50,29,57.28899318031825,9.157221646625434,3972,stop
8,771,718,53,30,39.51658540913459,9.078949922390631,4577,stop
9,833,800,33,28,39.824434583538995,9.307164344873874,3762,stop
10,894,860,34,37,39.117148958103236,9.938148826539274,4553,stop
11,969,911,58,22,55.22657655212865,9.067760785561708,3414,stop
12,1025,990,35,35,39.66248359673,9.064604771234704,4699,stop
13,1097,1035,62,27,59.50118810436892,9.056472329864588,3978,stop
14,1164,1123,41,43,45.74315330985185,8.957185294093184,5653,stop
15,1260,1192,68,65,49.083226384832706,8.952104422941055,8604,stop
