turn,prompt_tokens,cached_tokens,prompt_n,completion_tokens,prompt_tps,gen_tps,total_ms,finish_reason
1,355,0,355,18,63.26241230804982,7.2753230457412394,7988,stop
2,401,356,45,18,46.04890188718633,7.94549576855612,3219,stop
3,455,418,37,27,43.325628397256196,8.627847106585104,3907,stop
4,521,458,63,35,50.2929765459103,8.69495613266764,5202,stop
5,595,533,62,28,72.40140271878944,8.766592399559205,3985,stop
6,657,622,35,24,43.28998974645672,8.602346795008694,3530,stop
7,713,663,50,29,59.48040299162635,8.67479494953438,4116,stop
8,771,718,53,30,41.15322198669121,8.552094938870216,4724,stop
9,833,800,33,28,40.000290911206626,8.655014025931063,3993,stop
10,894,860,34,37,40.78122432432109,8.57009612553096,5082,stop
11,969,911,58,22,58.989669688361644,8.706395469357634,3446,stop
12,1025,990,35,35,40.1852655557163,8.245072659702814,5042,stop
13,1097,1035,62,27,61.85217330579914,8.24174169557352,4219,stop
14,1164,1123,41,43,45.54422010521825,8.213600549137865,6068,stop
15,1260,1192,68,65,48.38745256428593,7.9729805654861385,9487,stop
