turn,prompt_tokens,cached_tokens,prompt_n,completion_tokens,prompt_tps,gen_tps,total_ms,finish_reason
1,355,0,355,18,52.88300253897999,6.7847343477176345,9247,stop
2,401,356,45,18,45.18807275882222,8.782992406844741,2974,stop
3,455,418,37,27,41.075603533834084,8.853872956458014,3875,stop
4,521,458,63,30,49.93924059061476,8.83008660183556,4583,stop
5,592,534,58,28,63.14141608777963,9.534016133673967,3797,stop
6,654,619,35,24,40.98423043910505,9.04585856996775,3444,stop
7,710,660,50,26,56.83910894465689,9.021730461728557,3698,stop
8,766,731,35,26,43.54024487033715,9.04793960319356,3612,stop
9,827,785,42,19,32.10420106402495,9.213735632330998,3292,stop
10,879,845,34,23,39.90961645684773,9.000495027226497,3364,stop
11,940,901,39,23,45.49415400121084,9.056587617751077,3338,stop
12,997,962,35,24,42.05067947890798,8.90918633950585,3480,stop
13,1058,1007,51,24,53.23690841790347,8.777446694184597,3630,stop
14,1122,1081,41,36,45.72315632524108,9.032283704547291,4842,stop
15,1209,1157,52,83,53.47307630607989,8.922245999161527,10215,stop
